"ID","Course","LongTitle","Dept","UGrad"
"000012","PHIL 12","Ethics of a Human Life","Philosophy",28
"000024","MUSIC 24","Social Engagement through Musi","Music",14
"000033","PHIL 33","Ethical Issues in Social Rep","Philosophy",6
"000136","PHIL 136","Phenomenology","Philosophy",22
"000138","PHIL 138","Heidegger's Being and Time","Philosophy",34
"000169","PHIL 169","Nozick PE: Proseminar","Philosophy",24
"000171","PHIL 171B","Reproductive Ethics","Philosophy",13
"000175","PHIL 175W","The Wisdom of Work: Proseminar","Philosophy",3
"000176","PHIL 176G","Groups and Political Phil","Philosophy",3
"000202","PHIL 202A","Aristotle","Philosophy",1
"000229","PHIL 229","Kant's Theory of Imagination","Philosophy",2
"000244","MUSIC 244","Film Music/Film Sound","Music",0
"000301","MUSIC 301R","Reading and Resarch","Music",0
"000316","PHIL 316","Writing Workshop","Philosophy",0
"000396","BPH 396","Evol Genomics of Malaria","Bio Sciences in Public Health",0
"107349","MODMDEST 100","Intro Modern Middle East","Near Eastern Languages & Civ",13
"107368","PHYSCI 11","Frontiers of Modern Chemistry","Chemistry & Chemical Biology",293
"107371","ANTHRO 2695","Design Anthropology","Anthropology",2
"107375","HIND-URD 91R","Hindi-Urdu Supervised Readings","South Asian Studies",4
"107378","SAS 100R","South Asian Language Tutorials","South Asian Studies",4
"107379","SAS 91R","Supervised Reading & Research","South Asian Studies",1
"107411","COMPLIT 214","The Literature of the Islands","Comparative Literature",7
"107600","APMTH 221","Advanced Optimization","Applied Mathematics",14
"107602","PSY 1503","Psych of Close Relationships","Psychology",144
"107608","ECON 3013","Contracts and Orgs Grad Worksh","Economics",0
"107628","DRB 322","Regulation of Tissue Stem Cell","Medical Sciences",0
"107630","GENETIC 397","Immunogenomics","Medical Sciences",0
"107631","HBTM 348","Molecular Pathogenesis","Medical Sciences",0
"107675","ECON 980W","Policy Options in Health","Economics",10
"107702","CHEM 171","Biological Synthesis","Chemistry & Chemical Biology",10
"107703","CHEM 320","Chemical Biology","Chemistry & Chemical Biology",0
"107706","PSY 2410R","Lab Research Emotional Disorde","Psychology",3
"107709","CHEM 255","Practical Crystallography","Chemistry & Chemical Biology",1
"107734","ENG-SCI 350","Materials Science","Engineering Sciences",0
"107746","NEUROBIO 355","A Biophysical Approach to Syst","Medical Sciences",0
"107761","GENETIC 395","Regulation of global genes","Medical Sciences",0
"107809","LING 215","Phonological Theory II","Linguistics",2
"107811","ECON 1310","The Economy of China","Economics",62
"107827","ECON 910R","Supervised Reading and Researc","Economics",11
"107831","CELLBIO 308QC","Intro to Histology","Medical Sciences",0
"107843","HBTM 200","Pathology of Human Disease","Medical Sciences",7
"107858","HISTSCI 136","History of Biotechnology","History of Science",71
"107868","CELLBIO 390","Membrane: Cytoskeleton Interfc","Medical Sciences",0
"107885","GENETIC 394","Transcriptional Networks","Medical Sciences",0
"107886","GENETIC 347","Ras signaling and colon cancer","Medical Sciences",0
"107887","GENETIC 356","Research-Molecular Cytogenetic","Medical Sciences",0
"107893","THI 101B","Introductory Thai II","South Asian Studies",2
"107899","PHYSICS 302A","Teaching & Communicating Physi","Physics",0
"107908","BPH 382","Aging, Stress Resistance & Die","Bio Sciences in Public Health",0
"107995","ENG-SCI 298R","Method in Design Engineering","Engineering Sciences",0
"107996","HAA 91R","Directed Study in HAA","History of Art & Architecture",2
"108059","HIST 1035","Byzantine Civilization","History",36
"108091","HIST-LIT 90AT","The Postwar Am Road Narrative","History & Literature",17
"108111","GENETIC 396","Genome Editing and Epigenome","Medical Sciences",0
"108113","GENETIC 392","Self-Renewal and Cancer","Medical Sciences",0
"108130","ASTRON 209","Exoplanet Systems","Astronomy",1
"108217","SHBT 202","Clinical Aspects of Speech and","Medical Sciences",0
"108218","SHBT 203","Anatomy of Speech and Hearing","Medical Sciences",0
"108224","SHBT 205","Neural Coding of Sound","Medical Sciences",0
"108285","GOV 63","Topics and Resources in Pol","Government",6
"108286","GOV 61","Research Practice Quant Method","Government",3
"108287","GOV 62","Research Practice in Qual","Government",34
"108339","CELLBIO 201","Principles of Cell Biology","Medical Sciences",0
"108354","BCMP 387","Single-molecule Biophysics","Medical Sciences",0
"108356","NEUROBIO 307","Architecture and plasticity","Medical Sciences",0
"108359","US-WORLD 38","Forced to be Free","General Education",14
"108378","CLS-STDY 135","Geography in the Ancient World","Classics, The",9
"108389","FRSEMR 21G","First Stars and Life in the Co","Freshman Seminars",9
"108419","MUSIC 181R","Performance and Culture","Music",9
"108465","PHYSICS 143A","Quantum Mechanics I","Physics",51
"108491","PSY 2160R","Affective and Dev. Neurosci. L","Psychology",1
"108503","RELIGION 1095","Ritualization and Transitional","Religion, The Study of",2
"108569","WOMGEN 1234","Creative Writing in WGS","Women, Gender & Sexuality",12
"108587","MEDLATIN 106","Augustine Confessions","Classics, The",4
"108639","GOV 92R","Faculty Research Assistant","Government",24
"108694","AFRAMER 209B","Africa Rising? New African Eco","African & African Amer Studies",6
"108716","FRENCH 136","French Feminisms Today","Romance Languages & Lit",9
"108748","E-PSCI 107","Plant Life in Geologic Time","Earth & Planetary Sciences",3
"108752","SPANSH 194","The Borges Machine","Romance Languages & Lit",29
"108772","ITAL 162","What is Time?","Romance Languages & Lit",2
"108791","COMPLIT 193","Love Poetry of the Middle-Ages","Comparative Literature",10
"108859","VES 52","Intro to Non Fiction Videomaki","Visual & Environmental Studies",11
"108871","ENG-SCI 183","Introduction to Heat Transfer","Engineering Sciences",21
"108879","AFRAMER 119X","Chocolate, Culture, and Politi","African & African Amer Studies",101
"108882","APPHY 50B","Phys Fndtn for Sci & Engr Prt","Applied Physics",74
"108890","CULTBLF 19","Contemporary Muslim Societies","General Education",51
"108901","ECON 1010A","Intermediate Microeconomics","Economics",68
"108949","ANTHRO 3628","Anthropological Research","Anthropology",0
"108970","ARABIC 242BR","Mod Arabic Poetry","Near Eastern Languages & Civ",1
"108974","SOCIOL 1180","Law, Science, and Soc in Ameri","Sociology",20
"108982","MUSIC 175R","Special Topics","Music",15
"108983","MUSIC 194R","Special Topics","Music",11
"109007","SHBT 301","Acoustics & Mech of Middle Ear","Medical Sciences",0
"109013","SHBT 310","Independent Stud in SHBT","Medical Sciences",0
"109014","SHBT 333R","Lab Rotation in SHBT","Medical Sciences",0
"109086","CELLBIO 386","Systemic metabolism and cancer","Medical Sciences",0
"109087","CELLBIO 387","Calcium signaling in health","Medical Sciences",0
"109091","HBTM 351","Bio and Immunotherapy of Chron","Medical Sciences",0
"109095","NEUROBIO 320L","Neural Circuits Underlying Cog","Medical Sciences",0
"109096","NEUROBIO 321L","Human Neurophysiology","Medical Sciences",0
"109099","NEUROBIO 322L","Molecular Mechanisms","Medical Sciences",0
"109111","CHEM 342","Inorganic Chemistry","Chemistry & Chemical Biology",0
"109112","SCRB 192","Principles of Drug Disc & Dev","Stem Cell & Regenerative Biol",11
"109121","DRB 325","Tissue-Specific Stem Cells","Medical Sciences",0
"109125","HBTM 355","Epigenetic Mechanisms","Medical Sciences",0
"109128","HBTM 360","Molecular characterization","Medical Sciences",0
"109129","HBTM 361","Molecular Approaches to Cell","Medical Sciences",0
"109133","HBTM 365","Bio and Genetics of Human","Medical Sciences",0
"109136","HBTM 369","DNA Damage Responses and Genom","Medical Sciences",0
"109144","HBTM 375","The Molecular Genetics of Huma","Medical Sciences",0
"109148","CELLBIO 319","Signaling Pathways in Cancer","Medical Sciences",0
"109149","BCMP 313","Biochemistry of Transmembrane","Medical Sciences",0
"109230","MEDVLSTD 250","Crusades in Material Culture","Medieval Studies",2
"109231","E-PSCI 52","Global Geophysics: A Primer","Earth & Planetary Sciences",9
"109243","ISLAMCIV 170","Islam, Modernity and Politics","Near Eastern Languages & Civ",1
"109254","NEUROBIO 329L","Genetic & Neural Basis of Slee","Medical Sciences",0
"109256","NEUROBIO 331L","Cortical Nets","Medical Sciences",0
"109257","NEUROBIO 332L","Bio & Comput Underpin Visual P","Medical Sciences",0
"109263","HISTSCI 99B","Tutorial - Senior Year","History of Science",25
"109266","BPH 384","Targets for Control of Malaria","Bio Sciences in Public Health",0
