"ID","Course","LongTitle","Dept","UGrad"
"107340","FRSEMR 26F","Dreams: Our Mind by Night","Freshman Seminars",13
"107341","US-WORLD 35","Equity in American Education","General Education",143
"107349","MODMDEST 100","Intro Modern Middle East","Near Eastern Languages & Civ",16
"107367","PHYSCI 10","Quantum & Statistical Found Ch","Chemistry & Chemical Biology",31
"107375","HIND-URD 91R","Hindi-Urdu Supervised Readings","South Asian Studies",1
"107378","SAS 100R","South Asian Language Tutorials","South Asian Studies",2
"107381","SAS 99RA","Tutorial - Senior Year","South Asian Studies",1
"107388","ECON 1936","Keynes","Economics",2
"107397","ENG-SCI 135","Phys & Chem:Contxt Global Ener","Engineering Sciences",9
"107400","CELLBIO 306QC","Theory & Sci of Teaching","Medical Sciences",0
"107418","HBTM 302QC","Img & Micro Meth in Bio & Med","Medical Sciences",0
"107426","MUSIC 105R","Fund of Improv & Comp, Dance","Music",9
"107432","PSY 980F","Animal Cognition","Psychology",3
"107464","SOCWORLD 47","Contemporary Develop Countries","General Education",28
"107469","LING 221R","Workshop in Indo-European","Linguistics",0
"107608","ECON 2005HFA","Research in Contracts and Orgs","Economics",0
"107613","ECON 1415","Analytic Frameworks for Policy","Economics",1
"107628","DRB 322","Regulation of Tissue Stem Cell","Medical Sciences",0
"107630","GENETIC 397","Immunogenomics","Medical Sciences",0
"107669","GHHP 60","Negotiation and Conflict Mgmt","Global Health & Health Policy",45
"107703","CHEM 320","Chemical Biology","Chemistry & Chemical Biology",1
"107706","PSY 2410R","Lab Research Emotional Disorde","Psychology",3
"107734","ENG-SCI 350","Materials Science","Engineering Sciences",0
"107741","AKKAD 144","Akkadian Divination Texts","Near Eastern Languages & Civ",0
"107746","NEUROBIO 355","A Biophysical Approach to Syst","Medical Sciences",0
"107755","NEUROBIO 230","Visual Recognition","Medical Sciences",2
"107761","GENETIC 395","Regulation of global genes","Medical Sciences",0
"107770","GOV 3005A","Workshop: Intl Relations","Government",0
"107773","AFRAMER 90R.X","Setswana","African & African Amer Studies",0
"107790","AFRAMER 90R.Y","Kikongo","African & African Amer Studies",0
"107821","ECON 1400","The Future of Globalization","Economics",162
"107827","ECON 910R","Supervised Reading and Researc","Economics",2
"107839","FRSEMR 38X","Work: an A/V Exploration","Freshman Seminars",10
"107858","HISTSCI 136","History of Biotechnology","History of Science",144
"107859","RELIGION 40","Incarnation and Desire","Religion, The Study of",24
"107868","CELLBIO 390","Membrane: Cytoskeleton Interfc","Medical Sciences",0
"107877","NEUROBIO 306QC","Quantitative Methods for Biol","Medical Sciences",0
"107880","ETHRSON 31","The Philosopher and the Tyrant","General Education",121
"107885","GENETIC 394","Transcriptional Networks","Medical Sciences",0
"107886","GENETIC 347","Ras signaling and colon cancer","Medical Sciences",0
"107887","GENETIC 356","Research-Molecular Cytogenetic","Medical Sciences",0
"107892","THI 101A","Introductory Thai I","South Asian Studies",2
"107908","BPH 382","Aging, Stress Resistance & Die","Bio Sciences in Public Health",0
"107934","CLASARCH 157","The Roman Villa","Classics, The",7
"107945","E-PSCI 274","Field Geology","Earth & Planetary Sciences",1
"107959","HIST 2926","Empires Compared: Proseminar","History",0
"108065","RELIGION 1600","Intro to Hinduism","Religion, The Study of",0
"108091","HIST-LIT 90AT","The Postwar Am Road Narrative","History & Literature",16
"108094","GREEK 110","Plato's Symposium","Classics, The",3
"108111","GENETIC 396","Genome Editing and Epigenome","Medical Sciences",0
"108113","GENETIC 392","Self-Renewal and Cancer","Medical Sciences",0
"108130","ASTRON 189","Exoplanet Systems","Astronomy",5
"108133","E-PSCI 270","Adv Structural Interpretation","Earth & Planetary Sciences",1
"108137","SOCIOL 310","Qualifying Paper","Sociology",0
"108151","RELIGION 1410","Contesting Sex Gender","Religion, The Study of",0
"108161","CULTBLF 51","Making the Middle Ages","General Education",5
"108212","SHBT 200","Acoustics of Speech and Hearin","Medical Sciences",0
"108213","SHBT 201","Biology of the Inner Ear","Medical Sciences",0
"108220","GREEK 113","Aeschylus' Oresteia","Classics, The",2
"108233","KORHIST 115","Korean History Through Film","East Asian Langs & Civ",9
"108257","FRSEMR 25X","Human Brain in Health and","Freshman Seminars",13
"108286","GOV 61","Research Practice Quant Method","Government",10
"108355","NEUROBIO 348","Neural stem cells","Medical Sciences",0
"108356","NEUROBIO 307","Architecture and plasticity","Medical Sciences",0
"108374","COMPSCI 304","Statistical Machine Learning","Computer Science",0
"108402","CULTBLF 53","Sacred and Secular Poetry","General Education",6
"108405","ETHRSON 33","Medical Ethics and History","General Education",257
"108419","MUSIC 181R","Performance and Culture","Music",3
"108446","MODMDEST 91R","Supervised Reading/Research","Near Eastern Languages & Civ",1
"108455","AESTHINT 55","Shakespeare, The Early Plays","General Education",71
"108465","PHYSICS 143A","Quantum Mechanics I","Physics",53
"108472","EAFM 202","Rip &Tear: Body in Jpn Film","East Asian Langs & Civ",1
"108488","PSY 2451","Psych of Racism and Prejudice","Psychology",2
"108491","PSY 2160R","Affective and Dev. Neurosci. L","Psychology",2
"108514","FRSEMR 34S","The Art of Noticing","Freshman Seminars",9
"108530","HIST 1511","Latin America and the U.S.","History",51
"108555","FRSEMR 25O","Blding a Living Cell One Brick","Freshman Seminars",13
"108556","EAFM 110","Film, Popular Cult East Asia","East Asian Langs & Civ",9
"108569","WOMGEN 1234","Creative Writing in WGS","Women, Gender & Sexuality",12
"108580","AESTHINT 59","Nazi Cinema","General Education",82
"108583","CLASARCH 10","Greek Antiquity","Classics, The",11
"108588","CLASSIC 360","Teaching Colloquium","Classics, The",0
"108619","WOMGEN 1127","WGS in the Daily News","Women, Gender & Sexuality",10
"108639","GOV 92R","Faculty Research Assistant","Government",12
"108673","SOCIOL 143","Just Institutions","Sociology",4
"108680","AFRAMER 209A","Africa Rising? New African Eco","African & African Amer Studies",10
"108768","FRSEMR 36X","Money Matters","Freshman Seminars",10
"108816","RSRA 298A","AM Thesis Reading & Research","Russia, E Europe, Central Asia",0
"108818","RSRA 299A","AM Thesis Develmnt & Writing","Russia, E Europe, Central Asia",0
"108829","FRSEMR 27I","Global Health","Freshman Seminars",15
"108839","SYSBIO 212","Communication of Science","Systems Biology",0
"108848","PHIL 19","Intro to Phil of Religion","Philosophy",40
"108851","STAT 366HFRA","Introduction to Research","Statistics",0
"108859","VES 52R","Intro to Non Fiction Videomaki","Visual & Environmental Studies",8
"108880","APPHY 50A","Phys Fndtn for Sci & Engr Prt","Applied Physics",79
"108892","ECON 980X","Economics of Work and Family","Economics",16
"108901","ECON 1010A","Intermediate Microeconomics","Economics",223
"108907","ROM-STD 99A","Tutorial - Senior Year","Romance Languages & Lit",1
"108913","FRSEMR 38V","Film Music and Film Sound","Freshman Seminars",10
"108915","GOV 94GO","Politics of Relig in Liberal","Government",13
"108926","BE 91R","Supervised Reading and Researc","Biomedical Engineering",12
"108927","HISTSCI 118","Material Culture Early Mod Eur","History of Science",4
"108950","AESTHINT 58","Modern Art and Modernity","General Education",72
"108971","ARABIC 242AR","Arabic Five","Near Eastern Languages & Civ",1
"108976","ANTHRO 2722","Sonic Ethnography","Anthropology",2
"108982","MUSIC 175R","Special Topics","Music",20
"108994","BBS 230","Analysis of the Biological Lit","Medical Sciences",0
"108999","BCMP 308QC","Cell Fate Decisions","Medical Sciences",0
"109006","SHBT 300","Auditory neural coding","Medical Sciences",0
"109013","SHBT 310","Independent Stud in SHBT","Medical Sciences",0
"109014","SHBT 333R","Lab Rotation in SHBT","Medical Sciences",0
"109015","SHBT 301QC","Speech and Hearing Lab Visits","Medical Sciences",0
"109073","MED-SCI 302QC","Conduct of Science Refresher","Medical Sciences",0
"109086","CELLBIO 386","Systemic metabolism and cancer","Medical Sciences",0
"109087","CELLBIO 387","Calcium signaling in health","Medical Sciences",0
"109092","MICROBI 353","Cancer immunotherapy develop","Medical Sciences",0
"109095","NEUROBIO 320L","Neural Circuits Underlying Cog","Medical Sciences",0
"109096","NEUROBIO 321L","Human Neurophysiology","Medical Sciences",0
"109110","CHEM 145","Experimental Inorganic Chemist","Chemistry & Chemical Biology",4
"109111","CHEM 342","Inorganic Chemistry","Chemistry & Chemical Biology",0
"109112","SCRB 192","Principles of Drug Disc & Dev","Stem Cell & Regenerative Biol",26
"109121","DRB 325","Tissue-Specific Stem Cells","Medical Sciences",0
"109125","HBTM 355","Epigenetic Mechanisms","Medical Sciences",0
"109127","HBTM 359","Genetics of Neurodegenerative","Medical Sciences",0
"109128","HBTM 360","Molecular characterization","Medical Sciences",0
"109129","HBTM 361","Molecular Approaches to Cell","Medical Sciences",0
"109133","HBTM 365","Bio and Genetics of Human","Medical Sciences",0
"109136","HBTM 369","DNA Damage Responses and Genom","Medical Sciences",0
"109137","HBTM 370","Integration of Metabolism","Medical Sciences",0
"109147","DRB 326","Epigenetic Regulation by Large","Medical Sciences",0
"109148","CELLBIO 319","Signaling Pathways in Cancer","Medical Sciences",0
"109149","BCMP 313","Biochemistry of Transmembrane","Medical Sciences",0
"109231","E-PSCI 52","Global Geophysics: A Primer","Earth & Planetary Sciences",12
"109233","SANSKRIT 250R","Nth Year Sanskrit: Seminar","South Asian Studies",0
"109254","NEUROBIO 329L","Genetic & Neural Basis of Slee","Medical Sciences",0
"109255","NEUROBIO 309QC","Molecular Path Retinal Disease","Medical Sciences",0
"109256","NEUROBIO 331L","Cortical Nets","Medical Sciences",0
"109257","NEUROBIO 332L","Bio & Comput Underpin Visual P","Medical Sciences",0
"109266","BPH 384","Targets for Control of Malaria","Bio Sciences in Public Health",0
"109267","BPH 385","The Molecular Genetics of Agin","Bio Sciences in Public Health",0
"109268","BPH 386","Translational Kidney Disease","Bio Sciences in Public Health",0
"109272","ENG-SCI 95R","Startup R & D","Engineering Sciences",35
"109273","RUSS ATA","Russian through Pushkin I","Slavic Languages & Literatures",4
